Title,Latitude,Longitude,Link,Rating
5040 Peak,49.192,-125.282,https://adventuresinelevation.com/5040-peak/,5
Mount Arrowsmith,49.223733,-124.59455,https://adventuresinelevation.com/mount-arrowsmith-2/,5
